vid,pid,uid,video_height,video_width,video_duration,video_ratio,video_format,music_title,music_duration,post_content,post_location,post_suggested_words,post_text_language,video_path,post_time,user_following_count,user_follower_count,user_likes_count,user_video_count,user_digg_count,user_heart_count,user_friend_count,popularity,video_details,total_frames,frame_rate,ratio_number,video_is_heng,video_area,video_height/width,video_width/height,post_time_normalized,year,month,day,hour,is_holiday,time_period,is_title,len_title,is_suggested,len_suggested,big_music,log_user_following_count,log_user_follower_count,log_user_likes_count,log_user_video_count,log_user_digg_count,log_user_heart_count,log_music_duration,log_video_duration,uid_popularity,time_period_popularity,post_text_language_popularity,post_location_popularity,big_music_popularity,music_title_popularity,year_popularity,month_popularity,day_popularity,hour_popularity,video_ratio_popularity,likes_per_video,followers_per_following,digg_pre_like_ratio,log_likes_per_video,log_followers_per_following,log_digg_pre_like_ratio,log_likes_per_log_video,log_followers_per_log_following,log_digg_pre_log_like_ratio,main_cluster_popularity,has_face,face_frame_rate,avg_faces_per_frame,multi_person_ratio,avg_face_area_ratio,max_face_area_ratio,close_up_ratio,dominant_emotion,emotion_distribution,rms_mean,rms_std,zcr_mean,tempo,beat_std,spectral_centroid_mean,spectral_rolloff_mean,spectral_contrast_mean,chroma_mean,emotion_label,mfcc_1_mean,delta_mfcc_1_mean,mfcc_2_mean,delta_mfcc_2_mean,mfcc_3_mean,delta_mfcc_3_mean,emotion_entropy,positive_emotion_ratio,cluster_total_count,main_cluster,main_cluster_count,main_cluster_freq
VIDEO00000787,POST00000001,USER00003541,1024,576,12,540p,mp4,original sound,12,"NYE,dinner,garlic,butter,outdoors,bye2021,endingtheyear,with,garlicbreath,garlicbreathfordays",AU,[],en,train/USER00003541/VIDEO00000787.mp4,2022-01-01 15:56,23,16,247,15,89,247,0,2.68,"(378, 30)",378,30,540,False,589824,1.7777777777777777,0.5625,0.0,2022,1,1,15,True,Work Time,True,10,False,0,original sound,3.1780538303479453,2.833213344056216,5.513428746164982,2.772588722239781,4.499809670330265,5.513428746164982,2.5649493574615367,2.5649493574615367,1,1425,3210,115,1470,1470,1235,331,132,202,3446,15.4375,0.6666666666666666,0.3588709677419355,2.799565309937983,0.5108256237659905,0.3066541841873795,1.461444422410208,0.6781179609215969,0.6908511393449559,9,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.0328058302402496,0.0075513860210776,0.5579645493451286,123.046875,1.2367699866992246,5964.88510131254,9746.980644674864,18.48854686241864,0.5556555986404419,unknown,-183.1827545166016,0.2833321094512939,-18.162004470825195,-0.0724518224596977,25.3769588470459,-0.0343741960823535,0.0,0.0,7,769,3,0.42857142857142855
VIDEO00000795,POST00000008,USER00003009,1024,576,17,540p,mp4,Intro,60,"design,housedesign,designer,house,housetour,foryou,foryourpage,usa,art,buildingahouse,decoration,fyp,room,satisfyingvideo",ES,[],un,train/USER00003009/VIDEO00000795.mp4,2022-01-08 09:47,8,1600000,15300000,678,681,15300000,0,7.89,"(511, 30)",511,30,540,False,589824,1.7777777777777777,0.5625,0.0111052788670351,2022,1,8,9,False,Work Time,True,14,False,0,Intro,2.197224577336219,14.285514812209811,16.54336345172214,6.520621127558696,6.5250296578434615,16.54336345172214,4.110873864173311,2.8903717578961645,1,1425,476,27,2,2,1235,331,126,76,3446,22533.13696612665,177777.77777777778,4.450980101243131e-05,10.022786636904211,12.08829523485797,4.4508810480648e-05,2.1997336617716785,4.468098648269447,0.3719372100908582,5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.1021790355443954,0.0790815576910972,0.0726406623038881,151.99908088235293,0.9860132971832696,1586.2154983665578,2654.474035161579,27.027050562540264,0.2577870488166809,unknown,-311.7054443359375,0.351878672838211,127.21050262451172,0.1420846432447433,17.590049743652344,0.0058176266029477,0.0,0.0,8,1610,1,0.125
VIDEO00000812,POST00000023,USER00000906,1024,576,7,540p,mp4,sonido original,40,"mini,target,run,target",US,[],en,train/USER00000906/VIDEO00000812.mp4,2022-01-16 20:13,447,191600,16800000,2860,91500,16800000,0,8.13,"(211, 30)",211,30,540,False,589824,1.7777777777777777,0.5625,0.024995168386035,2022,1,16,20,False,Leisure Time,True,4,False,0,sonido original,6.104793232414985,12.163170363711956,16.636889503897294,7.95892649305011,11.42410518016564,16.636889503897294,3.713572066704308,2.079441541679836,1,1196,3210,2529,67,67,1235,331,116,227,3446,5872.072701852499,427.6785714285714,0.0054464282472364,8.67813323444343,6.06070738735014,0.0054316500914036,1.857018194847716,1.7119668322251207,0.6477392273530551,0,1,0.2857,1.5,0.5,0.0024,0.0028,0.0,none,{},0.3145361840724945,0.1104578003287315,0.0537013003700657,117.45383522727272,1.970862126243527,1843.450434958884,4180.735136333265,24.60894846157109,0.4927728772163391,unknown,-85.64737701416016,-0.7153198719024658,106.91985321044922,0.2195251435041427,14.35174560546875,0.0340936072170734,0.0,0.0,2,2341,1,0.5
VIDEO00000815,POST00000026,USER00000567,1024,576,13,540p,mp4,original sound,13,,US,[],un,train/USER00000567/VIDEO00000815.mp4,2022-01-18 02:52,3393,490800,14600000,1029,119200,14600000,0,8.69,"(405, 30)",405,30,540,False,589824,1.7777777777777777,0.5625,0.0270982069851986,2022,1,18,2,False,Sleep Time,False,1,False,0,original sound,8.129764445794171,13.10379402930663,16.496532155171714,6.937314081223681,11.68856642283994,16.496532155171714,2.6390573296152584,2.6390573296152584,4,1379,476,2529,1470,1470,1235,331,139,165,3446,14174.7572815534,144.6081319976429,0.0081643830024395,9.5592885509117,4.980918985835104,0.0081312347287802,2.0783519445445044,1.4352828166714844,0.6680504638963541,91,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.0608069449663162,0.0324471145868301,0.2963362938360585,117.45383522727272,1.2144348772189957,3738.4280325311192,5920.685770425452,25.411286278046365,0.3362561464309692,unknown,-170.8272247314453,0.0096755363047122,9.763314247131348,-0.0216528512537479,-43.73130798339844,-0.0652167871594429,0.0,0.0,0,-1,0,0.0
VIDEO00000822,POST00000032,USER00002435,1024,576,10,540p,mp4,original sound,10,"Getting,Vitamins,Part,9,childhood,vitamins,gummies",US,[],en,train/USER00002435/VIDEO00000822.mp4,2022-01-22 00:00,178,4500000,174000000,1920,4400,174000000,0,8.94,"(305, 30)",305,30,540,False,589824,1.7777777777777777,0.5625,0.0334885167688452,2022,1,22,0,False,Sleep Time,True,7,False,0,original sound,5.187385805840755,15.319588176962744,18.974565862925928,7.560601162768556,8.38958706681109,18.974565862925928,2.3978952727983707,2.3978952727983707,2,1379,3210,2529,1470,1470,1235,331,127,214,3446,90577.82404997398,25139.66480446928,2.528735617650945e-05,11.413975734579187,10.132241925886456,2.5287036456771884e-05,2.216499227349756,2.4759387336896617,0.4200134873710923,3,1,1.1,1.0909,0.0909,0.1686,0.251,0.0,angry,"{'angry': 0.5, 'happy': 0.5}",0.1126420721411705,0.0872199088335037,0.0987788509560502,135.99917763157896,1.299992729367483,1651.5935055475206,2975.908336900685,24.235380604964742,0.409191220998764,unknown,-216.5137481689453,0.5498775243759155,124.47900390625,0.206230029463768,-25.53343963623047,-0.0953014492988586,1.0,0.5,5,721,2,0.4
VIDEO00000832,POST00000042,USER00000809,1024,576,58,540p,mp4,What You Won't Do for Love,60,"Pantry,Organization,And,Tour,pantrytour,organizedhome,organizewithme",US,[],en,train/USER00000809/VIDEO00000832.mp4,2022-01-26 01:21,101,6300000,84500000,569,497,84500000,0,11.92,"(1757, 30)",1757,30,540,False,589824,1.7777777777777777,0.5625,0.0401681516017515,2022,1,26,1,False,Sleep Time,True,7,False,0,What You Won't Do for Love,4.624972813284271,15.656060350091908,18.252262104161723,6.345636360828595,6.210600077024653,18.252262104161723,4.110873864173311,4.07753744390572,2,1379,3210,2529,3,3,1235,331,140,185,3446,148245.61403508772,61764.705882352944,5.881656735128322e-06,11.906632477038183,11.031103568422616,5.8816394383319775e-06,2.4847761592847006,2.7833130700858897,0.3225906671861754,17,1,0.2241,1.1538,0.1538,0.0046,0.0456,0.0,none,{},0.0171002224087715,0.017741747200489,0.0953838641826923,86.1328125,1.4869746971619928,2173.3190548853577,4707.68159144838,23.08112577758164,0.3839969635009765,unknown,-325.4312438964844,0.028345514088869,91.28073120117188,-0.0240146182477474,13.934588432312012,0.0059652426280081,0.0,0.0,3,2505,1,0.3333333333333333
VIDEO00000835,POST00000044,USER00001562,1024,576,38,540p,mp4,All For Us,60,"Do,you,like,the,color,This,is,my,future,office,diyproject,homereno,renovation,diytok,renovationtok",US,[],en,train/USER00001562/VIDEO00000835.mp4,2022-01-28 16:50,615,1600000,36800000,1510,8549,36800000,0,11.58,"(1144, 30)",1144,30,540,False,589824,1.7777777777777777,0.5625,0.0445240374224225,2022,1,28,16,False,Work Time,True,15,False,0,All For Us,6.423246963533519,14.285514812209811,17.421008430313073,7.320526962272739,9.053686561930803,17.421008430313073,4.110873864173311,3.6635616461296463,1,1425,3210,2529,1,1,1235,331,149,227,3446,24354.731965585703,2597.4025974025976,0.0002323097762959,10.1005224998061,7.862652149583006,0.0002322827965582,2.093738594839497,1.9244294151046009,0.4914870212551623,4,1,0.3158,1.25,0.25,0.0042,0.0112,0.0,none,{},0.2693821489810943,0.0882927998900413,0.0504178640758221,95.703125,1.9313492018195464,1501.4093071773714,3119.278559992578,24.886463764178075,0.4295879900455475,unknown,-93.20582580566406,0.0791238248348236,127.4711685180664,0.0139884343370795,5.092584133148193,0.0133137740194797,0.0,0.0,10,2444,1,0.1
VIDEO00000841,POST00000049,USER00000567,1024,576,7,540p,mp4,simple.,60,,US,[],un,train/USER00000567/VIDEO00000841.mp4,2022-02-01 17:28,3393,490800,14600000,1029,119200,14600000,0,4.86,"(235, 30)",235,30,540,False,589824,1.7777777777777777,0.5625,0.0511544984327273,2022,2,1,17,False,Work Time,False,1,False,0,simple.,8.129764445794171,13.10379402930663,16.496532155171714,6.937314081223681,11.68856642283994,16.496532155171714,4.110873864173311,2.079441541679836,4,1425,476,2529,1,1,1235,288,132,251,3446,14174.7572815534,144.6081319976429,0.0081643830024395,9.5592885509117,4.980918985835104,0.0081312347287802,2.0783519445445044,1.4352828166714844,0.6680504638963541,91,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.0758141577243805,0.0627463683485984,0.040037609281994,7.975260416666667,0.0,497.5994006597694,645.611572265625,23.95527680115572,0.2056685835123062,unknown,-449.8724060058594,-1.130070447921753,144.6164093017578,-0.1677115708589553,86.17628479003906,0.1526584029197693,0.0,0.0,0,-1,0,0.0
VIDEO00000852,POST00000060,USER00000616,960,540,15,540p,mp4,original sound,15,"Your,body,warns,you,before,word,of,mouth,does,WeAllPlayforCanada,RBCPodiumPose,ToyotaWave,uti,cheaters,fyp",CA,"['uti', 'uti symptoms', 'yeast infection', 'uti from my boyfriend', 'what is a uti', 'uti meaning word', 'uti suburb talks', 'esther podcast uti', 'yeast infection bread', 'uti podcast']",en,train/USER00000616/VIDEO00000852.mp4,2022-02-08 02:55,936,2994,282700,403,244200,282700,0,8.86,"(451, 30)",451,30,540,False,518400,1.7777777777777777,0.5625,0.0616834143557829,2022,2,8,2,False,Sleep Time,True,15,True,10,original sound,6.842683282238422,8.00469951054955,12.552145080994135,6.00141487796115,12.405746935654452,12.552145080994135,2.772588722239781,2.772588722239781,1,1379,3210,179,1470,1470,1235,288,126,165,3446,699.7524752475248,3.1953041622198506,0.863810174000092,6.552154722321962,1.433965843183438,0.6226228730947767,1.792801212295734,1.020658264841327,0.9154083624040136,0,1,1.0,1.0,0.0,0.1325,0.1527,0.0,happy,{'happy': 1.0},0.1219371110200882,0.0439811721444129,0.085846937789799,107.666015625,1.4487116456005886,1935.5837648798872,3901.353791839741,22.94247259239767,0.4297937452793121,unknown,-111.0998992919922,0.277610719203949,106.84435272216795,-0.0154818752780556,-20.17930793762207,-0.0614148825407028,-0.0,1.0,10,1607,2,0.2
VIDEO00000872,POST00000079,USER00000772,1024,576,138,540p,mp4,Time Machine,222,"loveisblind,loveisblindseason2,loveisblindnetflix",FR,[],en,train/USER00000772/VIDEO00000872.mp4,2022-02-17 22:35,615,86400,8400000,1285,36000,8400000,0,4.55,"(4155, 30)",4155,30,540,False,589824,1.7777777777777777,0.5625,0.0778535969507655,2022,2,17,22,False,Leisure Time,True,3,False,0,Time Machine,6.423246963533519,11.36675452879924,15.943742382861153,7.1592919047975645,10.491301994830229,15.943742382861153,5.407171771460119,4.934473933130692,1,1196,3210,37,1,1,1235,288,130,212,3446,6531.881804043546,140.25974025974023,0.0042857137755102,8.784603442536193,4.950600325240166,0.0042765562592335,1.954059564100952,1.5312375547571144,0.6191844610103572,91,1,0.971,1.5075,0.4776,0.0175,0.0468,0.0,angry,"{'angry': 0.5, 'happy': 0.25, 'neutral': 0.25}",0.064411960542202,0.0488793477416038,0.1300487659027079,107.666015625,1.660095875019266,2003.898409931361,3552.7907680457747,26.338190467286665,0.356143057346344,unknown,-228.40513610839844,0.0259624309837818,115.07484436035156,0.0167030598968267,-62.1183967590332,0.0017672941321507,1.5,0.5,0,-1,0,0.0
